ptid,p1,p2,p3,p4,p5,p6,p7,p8,p9
219,3.914918222254024e-15,2.8257687881242036e-07,0.0007751243316170454,0.0001015158923827538,0.05675668043037017,0.6178045894752935,0.19703964891179382,0.05687227321854135,0.07064988516312579
230,0.6074995515199522,0.3895297647041972,0.0013353269601353028,0.0016301484243811638,5.203750186141586e-06,4.56110051283209e-09,6.590632275184003e-12,7.345663539094992e-11,5.592104626235469e-20
232,0.005462679824428024,0.5821865019740182,0.181827916088912,0.22111088363198492,0.009249757815417516,7.694082926760058e-05,2.0356213912336384e-05,6.496360632241687e-05,1.5736975250803395e-11
245,8.467594313696855e-18,2.0718005783439304e-08,2.6123301969254327e-05,1.6098715413099296e-05,0.021811082143053027,0.010691629726689458,0.7593820482163249,0.042314337012745964,0.1657586601657957
246,5.742310825667e-13,1.6644805347239381e-06,0.002820081305435565,0.002858586328966119,0.06624843797009859,0.09097097434241883,0.394865301667148,0.4247595115004367,0.017475442404385883
255,2.0632262751330621e-19,1.4248709779847267e-11,1.8132556315860103e-08,3.885842919286908e-07,5.0077598203716314e-05,0.010971011664870443,0.005447074854060915,0.0004931267200758727,0.9830383024316898
256,0.008900653323933012,0.6443951776586492,0.3100618308673034,0.02943670137061217,0.007171892515619072,2.38989691792831e-05,1.1446363287420702e-06,8.700657662788735e-06,7.127678377371596e-13
262,2.452466604599449e-06,0.0023724382667368207,0.04087596167289474,0.39289319667532,0.067341496426654,0.0010824016984576329,0.0023516785972042295,0.49308030515204826,6.904407965452646e-08
263,0.0028365062734836584,0.8740477864374373,0.10355586832070615,0.016766147942184718,0.002792985329176857,5.131724682925273e-07,3.883605634136432e-08,1.5368846761500957e-07,1.8585583782037993e-14
275,6.077904978865803e-05,0.13967343906202787,0.6827356868857609,0.031058386443367763,0.14251103122236156,0.000782354013254303,0.0007732605226228307,0.0024050624496494643,3.51166751894391e-10
279,3.15491238492854e-11,1.3768675474492903e-05,0.04600747034351116,0.002681174038236185,0.1498728650508484,0.44819520044679656,0.3276795804720139,0.02535566329296836,0.00019427764862818084
280,2.6972783813062828e-20,6.30564728033969e-11,9.150491403207204e-07,6.942328823936543e-07,0.00023248388369583433,0.022726875697304777,0.3681993357355721,0.006995655390768309,0.6018440399475765
286,0.011598032374058855,0.8306675533087778,0.08015146160364438,0.06906411626026382,0.00845717785108131,3.335977616579019e-06,3.742382252204567e-06,5.458023396328787e-05,8.341156170403313e-12
287,6.676529517176924e-17,2.6168812381510614e-09,4.422671536055415e-07,5.048504795503563e-07,0.0006009103994824541,0.02550468219563515,0.13949319308374059,0.022504392677766032,0.811895871908861
292,1.624529242815355e-07,0.01282493037472361,0.6750847567732637,0.1882492300952149,0.10751579907984163,0.01214994920372264,0.002719740932581372,0.0014553716657440766,5.9421983580291385e-08
294,4.063179794303131e-11,1.7149888777931417e-05,0.026136767939372384,0.004254257665324981,0.10072772635063972,0.39972624236177606,0.447594649729802,0.02028033580880458,0.001262870214867419
295,0.0358614721899059,0.07094073750569456,0.24775736339294266,0.2199630155822997,0.1254864139800377,0.04554049737857852,0.10623831145267455,0.08310104557605111,0.06511114294181525
302,0.008369434685887486,0.9753671520366073,0.011897629167815863,0.0037767781960965138,0.0005884255708261256,5.576623679705326e-07,1.910016090934747e-09,2.0770383159278153e-08,1.2720816150545085e-16
309,1.1583406480390858e-07,0.0013308278205607866,0.5011431104208284,0.001637113560542052,0.019042361320149546,0.46980584439437767,0.007035016816624016,5.535344547520679e-06,7.44883044513432e-08
310,0.00785063091290388,0.9322512369627117,0.02081620137694317,0.03738364663600319,0.001694007724655966,2.902731449806441e-06,1.0010442763301164e-07,1.2735508965698375e-06,1.1716095857538942e-15
318,6.468673055435925e-15,5.490833834330307e-07,0.001427130206396584,0.0010301992632161586,0.021019235784403664,0.71085499912095,0.2205590775549193,0.0355799381444856,0.009528870842238829
337,8.98967026080079e-20,2.9883811230673764e-11,3.2477487449904763e-07,1.6151727189380071e-07,0.0009931840806595728,0.001045576036395855,0.18017364133405844,0.6464236081117218,0.17136350411513895
346,0.0025186470070936652,0.25023184939721077,0.5410623262424468,0.12243124198145647,0.08238543416031953,0.0003878524902456837,0.0005267608214337683,0.0004558875506933259,3.490986615936677e-10
364,6.047144664730809e-09,0.0004525640057205384,0.010833339627210914,0.03975161006887555,0.367950660275135,0.034948207236946194,0.1418335366608398,0.4026505907353755,0.0015794853427564238
370,0.002064664565313058,0.9236783082751211,0.020464920996187592,0.03226817170565317,0.02151830352140956,4.010456766436208e-06,4.674351713193597e-07,1.1530443226594519e-06,6.010026621699661e-14
373,0.00034505987929531326,0.43928707824143964,0.4252686937361255,0.08339319110189551,0.05130851854243839,2.5782167747179664e-05,1.809011864404221e-05,0.00035358620863372886,3.781709445870462e-12
374,7.299471092390792e-22,3.106716990180289e-14,1.1749284534983351e-09,1.3629533617554833e-10,3.564237433047322e-07,0.0018738563202384158,0.0007015431902555036,2.767383799997783e-05,0.9973965689165054
376,2.7075420613483824e-06,0.014108833693167844,0.00899300260188634,0.735944574261222,0.20395385547162515,0.00015024301865097908,0.002121626519786753,0.0347250860644402,7.082716420723753e-08
382,1.0383003284900517e-17,9.755654599316476e-09,1.1103969887453237e-07,8.851924511015697e-06,0.0018966851195516454,2.5986588046992527e-05,0.08135378616176993,0.8968103905835256,0.019904178827253028
384,3.980388262188258e-12,2.22785723215339e-06,0.002221983230508944,0.002290668943254912,0.028793439546678276,0.4420887146908384,0.4944368543827145,0.024816454189640333,0.0053496571551473
390,0.7800572873334615,0.21072924269790655,0.001870642028362711,0.007277615206663643,6.274127372951113e-05,5.474919734739232e-10,2.2488396364449917e-10,2.4706875003010257e-06,3.417236501415552e-17
398,4.273280817546794e-12,1.0643128918589691e-06,0.00025151090172830784,0.0008414167053784491,0.01822670443387449,0.23804631646427615,0.5766416519099892,0.15689523579223305,0.009096099475357281
404,1.0657373455274234e-22,2.9895437139325535e-13,2.2109934324016385e-09,1.0871503667935401e-09,3.4568833378443605e-05,0.0004071927923075669,0.05340164168427922,0.002748517797100625,0.9434080755944949
405,1.1460258365439715e-19,3.0520283721776176e-11,6.792371490645478e-08,5.440859013937449e-08,5.061934128326731e-05,0.0012606880506998192,0.0852663459393073,0.007065741850808695,0.9063564824550755
407,1.9620302948896103e-11,8.936665655534493e-05,0.023480002739672736,0.042294353053327974,0.4683414107006073,0.2119568256663309,0.21923703974440867,0.03434052693208743,0.00026047448739064186
413,8.072892569313498e-11,2.685618970812506e-05,0.047872792564413125,0.009415106342791702,0.06717688802789834,0.15014504926441005,0.6642910044546375,0.06022256440399007,0.0008497386714219073
417,1.1368675804546869e-05,0.00929491831233128,0.2988896592141386,0.5388109846497244,0.09584301032706143,0.013664235360082185,0.01335034900654299,0.030132028385446374,3.4460688684315168e-06
422,1.0963371694693424e-16,1.1791463827620765e-08,0.0003496433495035136,4.8468119581556473e-05,0.009080757917133843,0.21835132094826257,0.7303356100082137,0.0367251050541564,0.005109082811682857
438,0.019857653238057407,0.9348647567781184,0.014940927876476195,0.02986101525004325,0.0004747219384583657,9.110212503630371e-07,8.877755075863814e-09,5.019842366922101e-09,2.7091653079550643e-17
440,2.3161080304014866e-05,0.8100104676748069,0.0553763142856367,0.06829743129052143,0.06572583151972408,0.0005210792740216515,2.1091604856259048e-05,2.4623223601641703e-05,4.6527688694514713e-11
444,0.026375021429511984,0.2959135501486318,0.5658501694515479,0.09217109517846608,0.019484924908938522,5.2252051445515234e-05,2.847265273303219e-05,0.00012451417029320352,8.431864822226142e-12
447,0.0002472210093295259,0.11611628359105093,0.6874485795170571,0.17455389687293588,0.02060082659829191,0.0008147627372170558,4.618053472685579e-05,0.00017224860718292482,5.322078422410397e-10
454,5.813841478858265e-11,8.21631170735426e-05,0.2752312397797528,0.011467691358909312,0.23662673833642858,0.4149201873136392,0.059059917669935555,0.002507565290813271,0.0001044970753099005
455,0.03756204854985734,0.032691145213768605,0.3611992824960086,0.25570044201319164,0.07446004205032615,0.0860184861253462,0.08292061465426366,0.03875990944745879,0.03068802944977922
458,2.2919403283649045e-05,0.007996044455949182,0.06942383393525846,0.6936364949909415,0.09440060536113692,0.006240091052085482,0.027046834152619343,0.10122243885328037,1.0737795445130576e-05
465,0.0007182867948977855,0.3129328765385102,0.25360453088080437,0.13344766063578462,0.23944570079091546,0.0032491819542079,0.004217539456296278,0.05238418893349717,3.401508558688502e-08
468,8.775445296606384e-21,2.7138651880762826e-11,5.408715768522081e-06,4.1593485092136163e-07,0.0007265531231622842,0.07735341920785896,0.2774228376366448,0.0015304985912492604,0.6429608667633407
472,9.173648824645842e-11,0.00013509709189587073,0.0034366371686360333,0.0059569653243454375,0.44248221857490055,0.02062561772383073,0.16288193775012405,0.3644473364414275,3.4189833127709976e-05
476,0.0008859823332900818,0.11302130763842513,0.010490873382006896,0.1531759883823543,0.6500882540160376,0.0014513282493212052,0.0389398741239956,0.0319450115390803,1.3803354830074416e-06
479,0.002078644943911062,0.26343304887390656,0.426946935314101,0.2711944037770019,0.03523969683536417,0.0009769071518020923,4.246540535719654e-05,8.789761356660153e-05,8.49895329988261e-11
481,1.3633166528545233e-09,9.595275404519154e-05,0.013059926899785112,0.0023315089609745408,0.46912172713907907,0.2559675385229485,0.20543860951813808,0.05040799806252868,0.003576736779184022
486,5.580533961501283e-16,2.207418091951529e-08,0.000626900013430024,0.00015682454859312515,0.015255470405025501,0.1637949897742063,0.7734514784484743,0.02218556887132385,0.024528745864767193
487,6.837930468748662e-10,0.00033730213534437556,0.030047689412137313,0.029609248188824076,0.8750709870215992,0.012337811177393099,0.01316055509348562,0.03943352235615573,2.8839312742721472e-06
489,2.6749223504275775e-09,3.949943538086638e-05,0.012915599281406846,0.0013303011391121906,0.009079340961807686,0.9637325541306564,0.012870971647770338,3.0008547638054484e-05,1.7221813059289136e-06
492,0.036062804601984355,0.43720544975800346,0.30018433555198826,0.19201812354285205,0.03400853444305552,1.8860564658669173e-05,6.356515790288015e-05,0.0004383262448452459,1.3471014151012183e-10
502,0.0045705602503026506,0.5667915695122232,0.077857545803029,0.28954425980986837,0.05749963525819516,0.0005258978824660959,0.0019455643768629466,0.001264964351592252,2.7554600758687766e-09
503,0.45277145539058733,0.5159648531953768,0.0263843673449093,0.004786035151489978,9.32176099394199e-05,7.08199552288016e-08,4.5728939814992696e-10,3.045207848341129e-11,2.0173627519235768e-19
505,0.8010213458787285,0.15611855374818162,0.014271418614271785,0.027989889344359593,0.0005980995692243335,1.1591361558244234e-08,1.3428147662618373e-08,6.678257249747895e-07,1.0736446165366255e-17
514,0.05156448901664222,0.03707051388615026,0.3123083459248756,0.21084728495813518,0.09128516899744178,0.07768552745574854,0.1135380559483571,0.07106531809847297,0.03463529571417656
516,0.00023028841876046,0.15839197816450395,0.18151441326937065,0.4636263005040664,0.1947624205219577,0.0004914470909638811,0.0002657869606847944,0.0007173649416674612,1.280193154495787e-10
519,7.979839795245298e-07,0.06999130661211085,0.18547451761186895,0.209991074116484,0.44517960815333624,0.07017187540938555,0.009438327825045442,0.009751347107738102,1.1451800524171615e-06
521,3.0836105482950524e-07,0.0011371950369538203,0.019452872210168892,0.00506844164600525,0.29025827591534026,0.05593625139464772,0.47564863345155856,0.1491843922139395,0.0033136297703310795
532,0.00261811794858428,0.16811483158068924,0.3830903190874805,0.3538466566306054,0.08651398806861274,0.00012899280016307008,0.0025395201115334842,0.0031475733540681865,4.182597899381472e-10
539,0.003131105109017467,0.032839873737417716,0.10214304655569992,0.23158831531385246,0.30200015481771103,0.07052315049347155,0.1228652568463721,0.10455276841767028,0.030356328708786722
541,0.09281850168917036,0.36796766584352386,0.10277554979988028,0.16499422395683344,0.10655408569549528,0.07767119448187147,0.02566677042084326,0.03703846963506967,0.024513538477311903
555,0.0006666367696242376,0.3874897809981552,0.03170509595151634,0.5189383113664578,0.05774893898964607,0.00013450842247085683,1.3477234346582897e-05,0.003303249849495077,4.1828848822439013e-10
562,1.6157801429009413e-06,0.007964066450750084,0.192231922458725,0.1759549484652903,0.5642531206264016,0.00940049912682497,0.011089509792087431,0.03910382260729753,4.946924794930482e-07
563,0.0006486093377531416,0.940719984620888,0.031970360244334826,0.020891275842256377,0.00575553455543864,1.01950366662443e-05,4.742754033250454e-07,3.5660870864597593e-06,1.7302723816709728e-13
564,1.3243134005766681e-08,0.000402137028837248,0.004142959362842741,0.26453644475767907,0.31413409519940394,0.14843481351257515,0.033869356115379695,0.23431147620829937,0.00016870457184987064
567,0.0003585322788189843,0.2856396772818514,0.6834052625191197,0.022119842932516034,0.0083833938925248,9.209538803262668e-05,4.66515388743096e-07,7.291917143037735e-07,3.269423487279034e-14
570,2.2912389641540437e-10,9.211057918598965e-05,0.09529304930180835,0.024941252499081443,0.06136778754507098,0.2955767024487143,0.4754405161992058,0.04714566299764171,0.00014291820016689376
572,0.015768613637630085,0.9590150252010896,0.01394654217708287,0.009635061920930006,0.0016311102248965123,3.509808269176183e-08,6.744419564322827e-09,3.6049958664202404e-06,1.0567621979497503e-15
580,0.003940684026889227,0.4440932855744077,0.024561079749594556,0.47089299961260017,0.04202703926404062,0.0008202421908363237,0.0001327735906287353,0.013531895124841075,8.661614840552628e-10
601,2.8830258391974537e-15,9.345384211588629e-08,9.731359621046901e-05,2.0065202317472666e-05,0.012483661063459363,0.0035820149234229866,0.661863307524531,0.11642171929518656,0.20553182494103017
609,1.95902436489468e-06,0.0065931757215677055,0.373980665696204,0.40027182863425215,0.16474451468732798,0.028700505979304406,0.01962438540814655,0.006082461036274323,5.038125586890992e-07
614,1.338356941440509e-17,9.141378150607749e-10,3.823939070308829e-07,5.295149382066841e-07,0.002462190817670128,0.003744756038893877,0.12766544586376918,0.19207661633457035,0.6740500781221118
